Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Sea Point,4.0,4.0,,1.0,10.59663473,126.0,Rental,36791656
Woodstock,0.5,1.0,"Loft Fenton Loft, 22 Fenton Road",0.0,8.987196821,40.0,Rental,31383171
Vredehoek,3.0,3.0,"Relax 15 On Chelmsford, 15a Chelmsford Road",2.0,10.59663473,200.0,Rental,30332157
Green Point,1.0,1.0,3 Thornhill Rd,1.0,9.680344001,65.0,Rental,33919497
Gardens,2.0,2.0,20 Camp St,2.0,10.34174248,100.0,Rental,30256997
Kenilworth Upper,1.0,1.0,Summerley Rd Kenilworth,2.0,9.546812609,60.0,Rental,36829302
Sea Point,2.0,2.0,5 Antwerp Rd,2.0,9.903487553,100.0,Rental,36827429
Cape Town City Centre,1.0,1.0,220 Loop St,1.0,9.898475011,60.0,Rental,36818262
Oranjezicht,0.5,1.0,7 Beulah Ter,1.0,9.581903928,50.0,Rental,36826960
Vredehoek,2.0,2.0,Everest Cl Devil's Peak Estate,1.0,10.1266311,70.0,Rental,36824495
Waterfront,3.0,3.5,"Marina Residential Estate, 1 Dock Road",2.0,11.8493977,464.0,Rental,35021521
Sea Point,3.0,2.0,"269 Beach Road, Cape Town, South Africa",1.0,10.22194128,120.0,Rental,28331110
Mouille Point,3.0,2.0,93 Beach Road,1.0,11.00209984,153.0,Rental,31379643
Kenilworth,1.0,1.0,76 Rosmead Avenue,1.0,9.210340372,62.0,Rental,36828715
Foreshore,1.0,1.0,Harbour Arch Boulevard,1.0,9.76995616,51.0,Rental,36818905
Tamboerskloof,1.0,1.0,258 Upper Buitengracht Street,1.0,9.680344001,37.0,Rental,36831587
Foreshore,1.0,1.0,Harbour Arch Boulevard,1.0,9.76995616,51.0,Rental,36818987
Sea Point,2.0,1.0,85 Regent Road,0.0,9.901235017,90.0,Rental,36809263
Vredehoek,1.0,1.0,19 Chelmsford Rd,0.0,9.581903928,50.0,Rental,34280272
Foreshore,2.0,2.0,Harbour Arch Boulevard,1.0,10.30895266,73.0,Rental,36815219
Cape Town City Centre,2.0,2.0,16 Bree St,2.0,10.16585182,79.0,Rental,33162565
Mouille Point,2.0,2.0,175 Beach Rd,1.0,10.23995979,105.0,Rental,35493802
De Waterkant,1.0,1.0,"6 Rose Street, De Waterkant",1.0,9.878169745,,Rental,31520867
Oranjezicht,1.0,1.0,"Shirmal, 4 Culver St",1.0,9.200290036,40.0,Rental,33189230
Sea Point,1.0,1.0,23 Arthurs Rd,1.0,9.798127037,57.0,Rental,33600249
Cape Town City Centre,1.0,1.0,3 Socrates Way,1.0,9.998797732,53.0,Rental,36800078
Sea Point,2.0,1.0,11 Tramway Road,0.0,10.30895266,100.0,Rental,36810680
Rondebosch,4.0,4.0,34 Avenue De Mist,4.0,10.54534144,,Rental,34992733
Kenilworth,2.0,1.0,318 Main Road,0.0,9.546812609,84.0,Rental,36826635
Rondebosch,2.0,1.0,"3 Lonsdale, 9 Highstead Road",1.0,9.510444964,75.0,Rental,36787316
Claremont Upper,2.0,2.0,25 Protea Rd,2.0,10.16585182,110.0,Rental,36789012
Gardens,1.0,1.0,21 Park Road,0.0,9.546812609,58.0,Rental,36805891
Rondebosch,3.0,4.0,4 White Rd,0.0,10.81977828,325.0,Rental,36777316
Kenilworth,4.0,2.0,3 Myrtle Rd,2.0,8.748304912,120.0,Rental,33464782
Foreshore,1.0,1.0,Harbour Arch Boulevard,1.0,9.903487553,51.0,Rental,36796186
Cape Town City Centre,0.5,1.0,3 St George's Mall,0.0,9.259130536,38.0,Rental,28585770
De Waterkant,1.0,1.0,117 Strand Street,1.0,9.825526011,58.0,Rental,31107624
Claremont Upper,2.0,1.0,259 Main Road,2.0,9.740968623,87.0,Rental,36786095
Bantry Bay,2.0,3.0,64 De Wet Road,1.0,11.08214255,,Rental,34812430
Higgovale,2.0,2.0,"2 Eagle's Nest, 155 Kloof Nek Road",2.0,11.08214255,190.0,Rental,33028185
Camps Bay,4.0,4.0,4 Theresa Avenue,2.0,11.46163217,905.0,Rental,36065821
Sea Point,0.5,1.0,6 Norfolk Rd,0.0,9.472704636,24.0,Rental,35265318
Vredehoek,4.0,3.0,,2.0,10.87804719,267.0,Rental,36820939
Vredehoek,3.0,1.5,,1.0,10.30895266,273.0,Rental,36817233
Muizenberg,1.0,1.0,"112 Sunrise Villas, 01 St David's Street",1.0,9.035986985,67.0,Rental,36771352
Wynberg,2.0,1.0,144 Sussex Rd,1.0,9.159047078,60.0,Rental,33301906
Green Point,0.5,1.0,"512 Son Vida, 87 Somerset Road",1.0,9.305650552,34.0,Rental,36814728
Kenilworth,1.0,1.0,"35 St Claire, 143 First Avenue",1.0,9.190137665,57.0,Rental,28396257
Sea Point,3.0,1.5,1 Conifer Rd,1.0,10.38899537,180.0,Rental,36786957
Constantia,7.0,5.0,,6.0,11.69524702,,Rental,36828691
Woodstock,1.0,1.0,187 Victoria Road,1.0,9.510444964,87.0,Rental,33351495
Woodstock,2.0,2.0,187 Sir Lowry Rd,1.0,9.740968623,63.0,Rental,33127025
