Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Sea Point,2.0,2.0,12 Quendon Rd,0.0,10.51867319,95.0,Rental,31720174
Fresnaye,4.0,5.0,,7.0,12.46843691,549.0,Rental,34862989
Sea Point,2.0,1.0,,1.0,10.04324949,104.0,Rental,34693787
Sea Point,1.0,1.0,,1.0,10.1266311,70.0,Rental,36788442
Sea Point,2.0,2.0,,1.0,10.30895266,112.0,Rental,36798310
Sea Point,1.0,1.0,,0.0,9.798127037,,Rental,36819929
Rondebosch,4.0,3.0,913 Balintore Rd,4.0,10.46310334,,Rental,36813558
Sea Point,2.0,2.0,,2.0,10.38899537,,Rental,36657616
Clifton,4.0,3.0,,2.0,12.4292162,585.0,Rental,32648160
Cape Town City Centre,1.0,1.0,The Rose On 117 City Centre Cape Town,0.0,9.546812609,,Rental,36780429
Woodstock,1.0,1.0,,0.0,9.472704636,,Rental,36540183
Gardens,2.0,1.0,,1.0,9.952277717,,Rental,35342109
Green Point,2.0,2.0,10 Ravenscraig Rd,1.0,10.81977828,123.0,Rental,36624387
Newlands,4.0,2.0,,5.0,10.87804719,,Rental,36827367
Constantia,7.0,5.5,,7.0,11.26446411,,Rental,36684934
Sea Point,1.0,1.0,Ocean View Drive,0.0,9.761347785,55.0,Rental,36704192
Wynberg,0.5,1.0,Grand Central 227 Main Road,1.0,8.411832676,,Rental,36792050
Sea Point,2.0,1.5,239 High-level Road,1.0,10.02127059,92.0,Rental,33831877
Kenilworth Upper,2.0,2.0,,1.0,9.71111566,110.0,Rental,36673322
Sea Point,0.5,1.0,,1.0,9.392661929,,Rental,36714382
Three Anchor Bay,1.0,1.0,,1.0,9.433483923,31.0,Rental,36734845
Sea Point,3.0,2.0,,1.0,10.91508846,127.0,Rental,32752510
Mouille Point,2.0,2.0,,2.0,10.29214554,101.0,Rental,36739114
Mouille Point,2.0,2.0,,2.0,10.83958091,154.0,Rental,36804568
Camps Bay,5.0,5.5,,3.0,11.77528973,386.0,Rental,36673477
Cape Town City Centre,1.0,1.0,1 Hans Strijdom Ave,1.0,9.510444964,48.0,Rental,36509011
Observatory,4.0,2.0,22 Scott Rd,0.0,8.455317788,222.0,Rental,36048023
Rondebosch,3.0,2.0,19 Balintore Road,0.0,9.680344001,,Rental,36789982
Pinelands,0.5,1.0,"St King's Blockhouse, 1 Spine Boulevard",0.0,8.839276691,,Rental,36288842
Oranjezicht,1.0,1.0,,1.0,9.210340372,,Rental,36522589
Green Point,2.0,2.0,10 Ravenscraig Street,2.0,10.71441777,,Rental,35029704
Sea Point,0.5,1.0,,1.0,9.825526011,34.0,Rental,35927451
Green Point,2.0,2.5,,1.0,10.81977828,123.0,Rental,36825726
Observatory,3.0,2.0,,1.0,10.04324949,91.0,Rental,36786178
Clifton,2.0,2.0,,0.0,10.71441777,,Rental,36782670
Observatory,1.0,1.0,,1.0,9.852194258,50.0,Rental,34282074
Muizenberg,3.0,2.0,258 Main Road,1.0,10.59663473,354.0,Rental,36343876
Sea Point,2.0,2.0,,1.0,10.43117029,,Rental,36700178
Green Point,2.0,1.0,,1.0,10.04324949,86.0,Rental,36772042
