iter	RMSE
0	0.7819866329
1	0.7647872709
2	0.7468363947
3	0.7308773308
4	0.7150338868
5	0.6995904319
6	0.6851374795
7	0.6732571745
8	0.6600604601
9	0.6472628717
10	0.6348763251
11	0.6245235725
12	0.6137615501
13	0.6033415986
14	0.5936488998
15	0.5845987826
16	0.5752535605
17	0.5679474387
18	0.5602748841
19	0.5533288955
20	0.5475389235
21	0.541410044
22	0.5353167881
23	0.5297879144
24	0.5233668055
25	0.5184800691
26	0.5128369205
27	0.5075138787
28	0.5028451392
29	0.4980710275
30	0.4937263004
31	0.4889277841
32	0.4859496396
33	0.4822655677
34	0.4787383743
35	0.4759090512
36	0.4726967036
37	0.4694024826
38	0.4674060479
39	0.4644892467
40	0.4611651113
41	0.4586892325
42	0.4558874681
43	0.4535776522
44	0.4508614571
45	0.4483539301
46	0.4453987198
47	0.443306975
48	0.4412164246
49	0.4384022896
50	0.4363047145
51	0.4336915878
52	0.4315998362
53	0.4295887371
54	0.4279599905
55	0.4263454308
56	0.4246563537
57	0.4233435555
58	0.4220104684
59	0.4198742258
60	0.4183901023
61	0.416775332
62	0.4149268549
63	0.4135891903
64	0.4121734213
65	0.4106782075
66	0.40930415
67	0.4083024538
68	0.4068821165
69	0.40551323
70	0.4040837501
71	0.4028819667
72	0.4016787176
73	0.4007535639
74	0.3997624616
75	0.3982553181
76	0.3969541044
77	0.395965683
78	0.3950740498
79	0.3937769875
80	0.392440257
81	0.3911818142
82	0.3903015437
83	0.3894893436
84	0.3884594757
85	0.387685032
86	0.3866773853
87	0.3858072511
88	0.3849842828
89	0.3839566539
90	0.3829947457
91	0.3821249768
92	0.3813488386
93	0.3804315766
94	0.3797776963
95	0.3787829935
96	0.3783069489
97	0.3774401778
98	0.3767218709
99	0.3764698457
100	0.3758111685
101	0.3750258145
102	0.3740737389
103	0.3731090171
104	0.372402515
105	0.3715084838
106	0.3708540749
107	0.370109031
108	0.369624318
109	0.3689617647
110	0.3685852576
111	0.3681246617
112	0.3672911873
113	0.3668488747
114	0.3663647937
115	0.365980868
116	0.3654962965
117	0.3650240205
118	0.3645629411
119	0.3640829392
120	0.3636793586
121	0.3631404954
122	0.3626650361
123	0.3621345871
124	0.3615936219
125	0.3610016256
126	0.3605105908
127	0.3599554163
128	0.3595773696
129	0.3591142977
130	0.358389315
131	0.3580808645
132	0.3575622359
133	0.3569196608
134	0.3565793382
135	0.3562284815
136	0.3558338381
137	0.3554657388
138	0.3550381551
139	0.3545559847
140	0.3539164437
141	0.3535042963
142	0.3531485456
143	0.352787658
144	0.3524126439
145	0.3518180994
146	0.3512831058
147	0.350921734
148	0.3505766461
149	0.3501005279
150	0.3496452266
151	0.3491850997
152	0.3486004104
153	0.3481417429
154	0.3477055259
155	0.3472214889
156	0.3469764388
157	0.3464910991
158	0.3461863941
159	0.3457728225
160	0.3453285055
161	0.3449181993
162	0.3445551952
163	0.3441222618
164	0.3438684239
165	0.3435067158
166	0.3433596225
167	0.3429317969
168	0.3425224269
169	0.34215536
170	0.3417175406
171	0.3412160959
172	0.3408131757
173	0.3403631584
174	0.3399977172
175	0.3397442446
176	0.3393215698
177	0.3390223866
178	0.3387030031
179	0.3383677595
180	0.3380530608
181	0.3377229715
182	0.3374138276
183	0.3369847863
184	0.3366168051
185	0.3361435536
186	0.335695948
187	0.3353258656
188	0.3349288868
189	0.3345536049
190	0.3341600586
191	0.3338581948
