iter	Passed	Remaining
0	0	603
1	1	523
2	1	475
3	1	448
4	2	427
5	2	413
6	2	407
7	3	404
8	3	401
9	4	427
10	4	437
11	5	435
12	5	433
13	6	431
14	6	430
15	7	435
16	7	435
17	7	431
18	8	426
19	8	422
20	9	430
21	9	438
22	10	441
23	10	438
24	11	435
25	11	434
26	12	434
27	12	435
28	12	433
29	13	430
30	13	427
31	14	425
32	14	422
33	14	420
34	15	417
35	15	415
36	15	413
37	16	411
38	16	409
39	16	407
40	17	406
41	17	410
42	18	412
43	19	412
44	19	412
45	19	412
46	20	413
47	20	413
48	21	411
49	21	410
50	21	409
51	22	407
52	22	407
53	23	408
54	23	409
55	24	409
56	24	409
57	25	410
58	25	410
59	26	411
60	26	411
61	27	412
62	27	414
63	28	413
64	28	413
65	29	412
66	29	411
67	29	410
68	30	409
69	30	408
70	31	407
71	31	407
72	32	409
73	32	409
74	33	408
75	33	408
76	34	408
77	34	408
78	34	407
79	35	406
80	35	405
81	36	404
82	36	405
83	37	406
84	37	407
85	38	407
86	38	407
87	39	406
88	39	404
89	39	404
90	40	403
91	40	402
92	41	401
93	41	400
94	41	399
95	42	398
96	42	397
97	43	396
98	43	395
99	43	394
100	44	393
101	44	394
102	45	395
103	45	395
104	46	396
105	46	395
106	47	395
107	47	395
108	48	394
109	48	394
110	49	393
111	49	392
112	50	392
113	51	396
114	51	397
115	52	398
116	52	397
117	53	397
118	53	396
119	54	396
120	54	395
121	54	394
122	55	394
123	55	393
124	56	392
125	56	391
126	56	390
127	57	389
128	57	388
129	57	387
130	58	387
131	59	388
132	59	388
133	60	388
134	60	387
135	60	387
136	61	387
137	62	389
138	62	389
139	63	390
140	66	402
141	66	402
142	67	402
143	67	402
144	68	404
145	69	404
146	69	404
147	70	405
148	70	404
149	71	404
150	71	404
151	72	403
152	72	403
153	73	403
154	73	402
155	74	401
156	74	401
157	75	401
158	78	412
159	78	413
160	79	413
161	79	412
162	80	411
163	80	411
164	81	411
165	81	410
166	82	409
167	82	408
168	82	408
169	83	407
170	84	407
171	84	407
172	85	406
173	85	406
174	86	405
175	86	405
176	86	404
177	87	403
178	87	403
179	88	403
180	89	403
181	89	402
182	90	401
183	90	401
184	91	401
185	91	401
186	92	401
187	92	400
188	93	400
189	93	399
190	94	398
191	94	397
192	95	397
193	95	396
194	95	395
195	96	395
196	96	394
197	97	394
198	97	393
199	98	393
200	98	392
201	99	393
202	99	392
203	100	391
204	100	391
205	101	390
206	101	389
207	102	388
208	102	388
209	102	387
210	103	386
211	103	386
212	104	385
213	104	384
214	105	383
215	105	382
216	105	382
217	106	381
218	106	381
219	107	380
220	107	379
221	108	378
222	108	378
223	108	377
224	109	376
225	109	376
226	110	375
227	110	374
228	111	373
229	111	373
230	112	372
231	112	372
232	112	371
233	113	370
234	113	369
235	114	369
236	114	369
237	115	369
238	115	369
239	116	368
240	116	367
241	117	367
242	117	366
243	118	365
244	118	365
245	118	364
246	119	364
247	120	364
248	120	363
249	121	363
250	121	363
251	122	362
252	122	362
253	123	361
254	123	360
255	123	359
256	124	359
257	124	358
258	125	357
259	125	356
260	125	356
261	126	355
262	126	355
263	127	354
264	127	353
265	128	353
266	128	353
267	129	353
268	129	352
269	130	351
270	130	351
271	131	350
272	131	349
273	131	349
274	132	348
275	132	347
276	132	347
277	133	346
278	133	346
279	134	345
280	134	344
281	135	344
282	135	343
283	135	342
284	136	342
285	136	341
286	137	340
287	137	340
288	137	339
289	138	338
290	138	338
291	139	337
292	139	337
293	140	336
294	140	336
295	141	335
296	141	335
297	142	335
298	142	335
299	143	335
300	144	335
301	145	335
302	145	334
303	146	334
304	146	334
305	147	334
306	148	334
307	148	334
308	149	333
309	149	333
310	150	333
311	150	332
312	151	331
313	151	331
314	152	330
315	152	330
316	153	329
317	153	329
318	153	328
319	154	328
320	156	331
321	157	331
322	158	331
323	158	331
324	159	330
325	159	330
326	160	330
327	160	329
328	161	329
329	162	329
330	162	328
331	163	328
332	163	327
333	164	327
334	164	326
335	165	326
336	165	325
337	166	325
338	166	324
339	167	324
340	167	323
341	168	323
342	168	322
343	169	322
344	169	322
345	170	321
346	170	321
347	171	320
348	171	320
349	172	319
350	172	318
351	172	318
352	173	317
353	174	317
354	174	317
355	175	317
356	175	316
357	176	315
358	176	315
359	177	314
360	177	314
361	178	313
362	178	313
363	178	312
364	179	312
365	179	311
366	180	310
367	180	310
368	180	309
369	181	308
370	181	308
371	182	307
372	182	307
373	183	307
374	183	306
375	184	306
376	184	305
377	185	305
378	185	304
379	186	303
380	186	303
381	187	302
382	187	302
383	188	302
384	188	301
385	189	301
386	189	300
387	190	300
388	190	299
389	191	299
390	191	298
391	192	297
392	192	297
393	192	296
394	193	296
395	193	295
396	194	294
397	194	294
398	194	293
399	195	292
400	195	292
401	196	291
402	196	291
403	197	290
404	197	290
405	198	290
406	198	289
407	199	289
408	199	288
409	199	287
410	200	287
411	200	286
412	201	286
413	201	285
414	202	285
415	202	284
416	203	284
417	203	283
418	204	282
419	204	282
420	204	281
421	205	281
422	205	280
423	206	279
424	206	279
425	206	278
426	207	278
427	207	277
428	208	277
429	208	276
430	209	275
431	209	275
432	209	274
433	210	274
434	210	274
435	211	273
436	211	272
437	212	272
438	212	271
439	213	271
440	213	270
441	213	269
442	214	269
443	214	268
444	215	268
445	215	268
446	216	267
447	216	266
448	217	266
449	217	265
450	217	265
451	218	264
452	218	263
453	218	263
454	219	262
455	219	262
456	220	261
457	220	260
458	220	260
459	221	259
460	221	258
461	221	258
462	222	257
463	222	257
464	222	256
465	223	255
466	223	255
467	224	254
468	224	254
469	225	253
470	225	253
471	225	252
472	226	252
473	226	251
474	227	251
475	227	250
476	228	250
477	228	249
478	229	249
479	229	249
480	230	248
481	230	247
482	231	247
483	231	246
484	231	246
485	232	245
486	232	244
487	232	244
488	233	243
489	233	243
490	234	242
491	234	242
492	234	241
493	235	240
494	235	240
495	235	239
496	236	239
497	236	238
498	237	237
499	237	237
500	237	237
501	238	236
502	238	236
503	239	235
504	239	235
505	240	234
506	240	234
507	241	233
508	242	233
509	242	233
510	243	232
511	243	232
512	244	231
513	244	231
514	244	230
515	245	230
516	246	229
517	246	229
518	246	228
519	247	228
520	247	227
521	248	227
522	248	226
523	249	226
524	249	225
525	250	225
526	251	225
527	252	225
528	252	225
529	253	224
530	253	223
531	254	223
532	254	223
533	255	223
534	257	223
