Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Sea Point,4,4,,1,10.59663473,126,Rental,36791656
Woodstock,0.5,1,"Loft Fenton Loft, 22 Fenton Road",0,8.987196821,40,Rental,31383171
Vredehoek,3,3,"Relax 15 On Chelmsford, 15a Chelmsford Road",2,10.59663473,200,Rental,30332157
Green Point,1,1,3 Thornhill Rd,1,9.680344001,65,Rental,33919497
Gardens,2,2,20 Camp St,2,10.34174248,100,Rental,30256997
Kenilworth Upper,1,1,Summerley Rd Kenilworth,2,9.546812609,60,Rental,36829302
Sea Point,2,2,5 Antwerp Rd,2,9.903487553,100,Rental,36827429
Cape Town City Centre,1,1,220 Loop St,1,9.898475011,60,Rental,36818262
Oranjezicht,0.5,1,7 Beulah Ter,1,9.581903928,50,Rental,36826960
Vredehoek,2,2,Everest Cl Devil's Peak Estate,1,10.1266311,70,Rental,36824495
Waterfront,3,3.5,"Marina Residential Estate, 1 Dock Road",2,11.8493977,464,Rental,35021521
Sea Point,3,2,"269 Beach Road, Cape Town, South Africa",1,10.22194128,120,Rental,28331110
Mouille Point,3,2,93 Beach Road,1,11.00209984,153,Rental,31379643
Kenilworth,1,1,76 Rosmead Avenue,1,9.210340372,62,Rental,36828715
Foreshore,1,1,Harbour Arch Boulevard,1,9.76995616,51,Rental,36818905
Tamboerskloof,1,1,258 Upper Buitengracht Street,1,9.680344001,37,Rental,36831587
Foreshore,1,1,Harbour Arch Boulevard,1,9.76995616,51,Rental,36818987
Sea Point,2,1,85 Regent Road,0,9.901235017,90,Rental,36809263
Vredehoek,1,1,19 Chelmsford Rd,0,9.581903928,50,Rental,34280272
Foreshore,2,2,Harbour Arch Boulevard,1,10.30895266,73,Rental,36815219
Cape Town City Centre,2,2,16 Bree St,2,10.16585182,79,Rental,33162565
Mouille Point,2,2,175 Beach Rd,1,10.23995979,105,Rental,35493802
De Waterkant,1,1,"6 Rose Street, De Waterkant",1,9.878169745,,Rental,31520867
Oranjezicht,1,1,"Shirmal, 4 Culver St",1,9.200290036,40,Rental,33189230
Sea Point,1,1,23 Arthurs Rd,1,9.798127037,57,Rental,33600249
Cape Town City Centre,1,1,3 Socrates Way,1,9.998797732,53,Rental,36800078
Sea Point,2,1,11 Tramway Road,0,10.30895266,100,Rental,36810680
Rondebosch,4,4,34 Avenue De Mist,4,10.54534144,,Rental,34992733
Kenilworth,2,1,318 Main Road,0,9.546812609,84,Rental,36826635
Rondebosch,2,1,"3 Lonsdale, 9 Highstead Road",1,9.510444964,75,Rental,36787316
Claremont Upper,2,2,25 Protea Rd,2,10.16585182,110,Rental,36789012
Gardens,1,1,21 Park Road,0,9.546812609,58,Rental,36805891
Rondebosch,3,4,4 White Rd,0,10.81977828,325,Rental,36777316
Kenilworth,4,2,3 Myrtle Rd,2,8.748304912,120,Rental,33464782
Foreshore,1,1,Harbour Arch Boulevard,1,9.903487553,51,Rental,36796186
Cape Town City Centre,0.5,1,3 St George's Mall,0,9.259130536,38,Rental,28585770
De Waterkant,1,1,117 Strand Street,1,9.825526011,58,Rental,31107624
Claremont Upper,2,1,259 Main Road,2,9.740968623,87,Rental,36786095
Bantry Bay,2,3,64 De Wet Road,1,11.08214255,,Rental,34812430
Higgovale,2,2,"2 Eagle's Nest, 155 Kloof Nek Road",2,11.08214255,190,Rental,33028185
Camps Bay,4,4,4 Theresa Avenue,2,11.46163217,905,Rental,36065821
Sea Point,0.5,1,6 Norfolk Rd,0,9.472704636,24,Rental,35265318
Vredehoek,4,3,,2,10.87804719,267,Rental,36820939
Vredehoek,3,1.5,,1,10.30895266,273,Rental,36817233
Muizenberg,1,1,"112 Sunrise Villas, 01 St David's Street",1,9.035986985,67,Rental,36771352
Wynberg,2,1,144 Sussex Rd,1,9.159047078,60,Rental,33301906
Green Point,0.5,1,"512 Son Vida, 87 Somerset Road",1,9.305650552,34,Rental,36814728
Kenilworth,1,1,"35 St Claire, 143 First Avenue",1,9.190137665,57,Rental,28396257
Sea Point,3,1.5,1 Conifer Rd,1,10.38899537,180,Rental,36786957
Constantia,7,5,,6,11.69524702,,Rental,36828691
Woodstock,1,1,187 Victoria Road,1,9.510444964,87,Rental,33351495
Woodstock,2,2,187 Sir Lowry Rd,1,9.740968623,63,Rental,33127025
Wynberg,2,1,227 Main Road Wynberg,1,8.881836305,58,Rental,36812584
Vredehoek,2,2,23 Davenport Rd (pearl Court),1,9.798127037,,Rental,36820339
Rondebosch,4,3,911 Balintore Rd,4,8.853665428,,Rental,36813312
De Waterkant,4,4,,2,10.98529272,265,Rental,36804533
Newlands,4,3.5,25-2 Cedar Road,2,10.54534144,,Rental,36815337
Sea Point,2,2,281 & 283 Beach Rd,1,11.03488966,100,Rental,36811506
Sea Point,0.5,1,401 Main Road,1,9.510444964,,Rental,36831020
Rondebosch,4,3,913 Balintore Rd,4,10.46310334,,Rental,36813558
Sea Point,2,2,"238 Beach Road, Sea Point",0,10.30895266,,Rental,36817321
Tokai,1,1,Zwaanswyk Rd Steenberg Estate,0,9.61580548,70,Rental,36815138
Observatory,1,1,,1,9.350102314,41,Rental,36799573
Vredehoek,2,2,5 Cape Vistas,1,9.862665558,92,Rental,35127797
Fresnaye,3,3.5,31 Kloof Road,1,10.93310697,254,Rental,36753715
Kenilworth,1,1,"105 Willowdene, 7 Epsom Road",0,9.126958763,56,Rental,30803733
Clifton,1,1.5,51 Victoria Rd,1,11.22524339,126,Rental,36737285
Clifton,2,2,51 Victoria Rd,1,10.91508846,126,Rental,36735324
Vredehoek,2,2,,0,10.04324949,120,Rental,32904749
