iter	RMSE
0	0.7787293501
1	0.7569974359
2	0.7368538382
3	0.7183662176
4	0.7023035194
5	0.6848598143
6	0.6695520697
7	0.655106541
8	0.6404419822
9	0.6274723792
10	0.6155950069
11	0.6052418534
12	0.5947034529
13	0.5859797676
14	0.5768125452
15	0.567946405
16	0.5598657144
17	0.5524706802
18	0.5452850993
19	0.5388012181
20	0.5330866184
21	0.5280399317
22	0.5225330612
23	0.5174230991
24	0.5122956245
25	0.5071096221
26	0.5032245452
27	0.4991487049
28	0.4955638301
29	0.4922964833
30	0.4885433173
31	0.4852129814
32	0.4826164052
33	0.4803054085
34	0.4775309098
35	0.4747812846
36	0.4724031807
37	0.4699315684
38	0.4676287346
39	0.4651341193
40	0.4634511421
41	0.4618862277
42	0.4599964797
43	0.4579463521
44	0.4561277428
45	0.4537715191
46	0.4512836162
47	0.4497701907
48	0.448080665
49	0.4459213518
50	0.4445428904
51	0.4425976768
52	0.4408088382
53	0.4391315401
54	0.4375301585
55	0.4361725004
56	0.4343301187
57	0.4330214583
58	0.4322947652
59	0.4312482043
60	0.4298765286
61	0.4279193016
62	0.4265356264
63	0.4254562712
64	0.4243787485
65	0.4233108378
66	0.422305295
67	0.4213920909
68	0.4199876684
69	0.4187019088
70	0.4178223591
71	0.4166488959
72	0.4158130033
73	0.4149451639
74	0.413920105
75	0.4127668356
76	0.4117094045
77	0.4109118957
78	0.4099908318
79	0.4091489972
80	0.4083011211
81	0.4073773345
82	0.4066086697
83	0.4055514808
84	0.4047719518
85	0.4041930294
86	0.4032695062
87	0.4025042598
88	0.401616038
89	0.4009904031
90	0.4004844482
91	0.3999148169
92	0.3993344164
93	0.3985628249
94	0.3980537551
95	0.3976140185
96	0.3967243665
97	0.3960103147
98	0.3952685874
99	0.3947308321
100	0.3940479561
101	0.3935621227
102	0.3927754204
103	0.3923312985
104	0.3916242399
105	0.3908086047
106	0.390057861
107	0.389217915
108	0.3888501908
109	0.3882119839
110	0.3874174107
111	0.3868656096
112	0.3861760846
113	0.3856532737
114	0.3849601148
115	0.3843129429
116	0.3837406405
117	0.3830652769
118	0.3822909746
119	0.381771871
120	0.3812158347
121	0.3805326655
122	0.3801165837
123	0.3796322305
124	0.3790596515
125	0.3785604909
126	0.3779917982
127	0.3772649371
128	0.376962485
129	0.3766041708
130	0.3761822056
131	0.3759064282
132	0.3752626492
133	0.3748159093
134	0.3743401519
135	0.37396128
136	0.3734326791
137	0.3730307165
138	0.3725220306
139	0.3720079322
140	0.3714041974
141	0.3708740125
142	0.3703046128
143	0.3696536963
144	0.3692529675
145	0.3687856114
146	0.368321579
147	0.3677462445
148	0.3673593418
149	0.3668516178
150	0.366268923
151	0.3658862958
152	0.3654076767
153	0.3649633376
154	0.364618271
155	0.3641768415
156	0.3637373453
157	0.3632897561
158	0.3629471296
159	0.3626027816
160	0.3621935388
161	0.3617895092
162	0.3612840438
163	0.3609387724
164	0.3605422317
165	0.3601211871
166	0.3596995213
167	0.3594290777
168	0.3589923857
169	0.3585633688
170	0.3581801469
171	0.3577824273
172	0.3574427019
173	0.3571042383
174	0.3567321713
175	0.3564096971
176	0.3560531869
177	0.355770261
178	0.3554199137
179	0.3550557094
180	0.3547172935
181	0.3543787287
182	0.3540169287
183	0.3537508007
184	0.3534465546
185	0.3530545133
186	0.3526606111
187	0.3523671669
188	0.3520268671
189	0.3517279653
190	0.3515233897
191	0.3512277338
192	0.3509369961
193	0.3507125215
194	0.350415414
195	0.3501651622
196	0.3499322459
197	0.3493346903
198	0.3491267049
199	0.3487973858
200	0.3484897398
201	0.3482801683
202	0.3480185404
203	0.347782682
204	0.3473776895
205	0.3471319643
206	0.3469512283
207	0.3467621467
208	0.3464050294
209	0.3461949623
210	0.345987417
211	0.3456670114
212	0.345413753
213	0.3450837869
214	0.3448934404
215	0.3446998809
216	0.3445016658
217	0.3442982164
218	0.3440811322
219	0.3438889285
220	0.3436392238
221	0.343442585
222	0.3431883966
223	0.342937654
224	0.3427021017
225	0.3424543891
226	0.3422188569
227	0.3421228712
228	0.3419424055
229	0.3416922194
230	0.3415359877
231	0.3412963352
232	0.3410209435
233	0.3408384798
234	0.3406232387
235	0.3403871873
236	0.3402295322
237	0.3400183974
238	0.3397734104
239	0.3395783322
240	0.3394218975
241	0.3393359953
242	0.3391892829
243	0.3389927004
244	0.3388722801
245	0.3386748947
246	0.3383802571
247	0.3383057464
248	0.3381593212
249	0.3378660954
250	0.3376494834
251	0.3375768366
252	0.3374184834
253	0.3370064114
254	0.3368423814
255	0.3367390792
256	0.3364929776
257	0.3363226138
258	0.3361959679
259	0.3360128793
260	0.3357744457
261	0.3356506192
262	0.3355836709
263	0.3354211813
264	0.3352240446
265	0.3350142986
266	0.3348620126
267	0.3347212686
268	0.3346558556
269	0.3344608362
270	0.3343127585
