iter	Passed	Remaining
0	2	5312
1	3	3736
2	4	3072
3	5	2678
4	6	2485
5	7	2389
6	7	2272
7	8	2159
8	9	2147
9	10	2098
10	11	2044
11	12	1991
12	13	1993
13	15	2242
14	17	2276
15	18	2249
16	19	2238
17	20	2206
18	20	2167
19	21	2130
20	24	2305
21	25	2282
22	26	2253
23	26	2219
24	28	2256
25	29	2246
26	30	2243
27	31	2231
28	32	2228
29	33	2228
30	34	2211
31	35	2190
32	36	2178
33	37	2164
34	38	2148
35	39	2131
36	39	2121
37	40	2108
38	41	2092
39	42	2073
40	43	2099
41	44	2088
42	45	2078
43	46	2064
44	47	2053
45	48	2041
46	49	2052
47	50	2061
48	51	2050
49	52	2039
50	53	2031
51	54	2026
52	54	2020
53	55	2013
54	56	2006
55	57	2009
56	58	2002
57	59	1996
58	60	1985
59	61	1983
60	62	1975
61	63	1973
62	64	1970
63	65	1969
64	66	1966
65	66	1961
66	67	1956
67	68	1948
68	69	1944
69	70	1937
70	71	1930
71	71	1926
72	72	1921
73	73	1915
74	74	1908
75	75	1900
76	75	1897
77	76	1890
78	77	1885
79	78	1884
80	79	1879
81	80	1872
82	80	1869
83	81	1861
84	82	1855
85	83	1849
86	83	1845
87	84	1839
88	85	1833
89	86	1834
90	87	1829
91	88	1826
92	88	1823
93	89	1819
94	90	1820
95	91	1817
96	92	1814
97	93	1811
98	94	1807
99	94	1804
100	95	1798
101	96	1793
102	97	1788
103	97	1782
104	98	1777
105	99	1773
106	100	1774
107	101	1770
108	101	1768
109	102	1764
110	103	1762
111	104	1759
112	105	1756
113	105	1752
114	106	1746
115	107	1742
116	107	1737
117	108	1731
118	109	1725
119	109	1720
120	110	1715
121	111	1710
122	111	1706
123	112	1702
124	113	1699
125	114	1695
126	114	1693
127	115	1695
128	116	1694
129	117	1692
130	118	1689
131	119	1684
132	119	1680
133	120	1677
134	121	1673
135	121	1668
136	122	1665
137	123	1663
138	123	1659
139	124	1656
140	125	1653
141	126	1650
142	126	1647
143	127	1645
144	128	1642
145	129	1640
146	129	1638
147	130	1636
148	131	1633
149	132	1631
150	133	1630
151	133	1628
152	134	1626
153	135	1623
154	136	1620
155	136	1618
156	137	1616
157	138	1614
158	139	1611
159	139	1608
160	140	1605
161	141	1602
162	141	1599
163	142	1596
164	143	1594
165	144	1594
166	145	1595
167	146	1592
168	146	1590
169	147	1588
170	148	1585
171	148	1583
172	149	1581
173	150	1578
174	151	1575
175	151	1573
176	152	1570
177	153	1567
178	153	1564
179	154	1561
180	155	1559
181	155	1555
182	156	1558
183	157	1557
184	158	1557
185	159	1555
186	160	1554
187	161	1552
188	161	1551
189	162	1549
190	163	1546
191	164	1545
192	164	1542
193	165	1540
194	166	1538
195	166	1536
196	167	1534
197	168	1533
198	169	1531
199	169	1529
200	170	1527
201	171	1526
